Order,State,Governor,Party,Inauguration,End of term,Term limits
1,Alabama,Kay Ivey,Republican,10-Apr-17,2023,y
3,Alaska,Mike Dunleavy,Republican,3-Dec-18,2023,y
5,Arizona,Doug Ducey,Republican,5-Jan-15,2023,n
7,Arkansas,Asa Hutchinson,Republican,13-Jan-15,2023,n
9,California,Gavin Newsom,Democratic,7-Jan-19,2023,y
11,Colorado,Jared Polis,Democratic,8-Jan-19,2023,y
13,Connecticut,Ned Lamont,Democratic,9-Jan-19,2023,y
15,Delaware,John Carney,Democratic,17-Jan-17,2025,n
17,Florida,Ron DeSantis,Republican,8-Jan-19,2023,y
19,Georgia,Brian Kemp,Republican,14-Jan-19,2023,y
21,Hawaii,David Ige,Democratic,1-Dec-14,2022,n
23,Idaho,Brad Little,Republican,7-Jan-19,2023,y
25,Illinois,J. B. Pritzker,Democratic,14-Jan-19,2023,y
27,Indiana,Eric Holcomb,Republican,9-Jan-17,2025,n
29,Iowa,Kim Reynolds,Republican,24-May-17,2023,y
31,Kansas,Laura Kelly,Democratic,14-Jan-19,2023,y
33,Kentucky,Andy Beshear,Democratic,10-Dec-19,2023,y
35,Louisiana,John Bel Edwards,Democratic,11-Jan-16,2024,n
37,Maine,Janet Mills,Democratic,2-Jan-19,2023,y
39,Maryland,Larry Hogan,Republican,21-Jan-15,2023,n
41,Massachusetts,Charlie Baker,Republican,8-Jan-15,2023,y
43,Michigan,Gretchen Whitmer,Democratic,1-Jan-19,2023,y
45,Minnesota,Tim Walz,Democratic,7-Jan-19,2023,y
47,Mississippi,Tate Reeves,Republican,14-Jan-20,2024,y
49,Missouri,Mike Parson,Republican,1-Jun-18,2025,y
51,Montana,Greg Gianforte,Republican,4-Jan-21,2025,y
53,Nebraska,Pete Ricketts,Republican,8-Jan-15,2023,n
55,Nevada,Steve Sisolak,Democratic,7-Jan-19,2023,y
57,New Hampshire,Chris Sununu,Republican,5-Jan-17,2023,y
59,New Jersey,Phil Murphy,Democratic,16-Jan-18,2022,y
61,New Mexico,Michelle Lujan Grisham,Democratic,1-Jan-19,2023,y
63,New York,Andrew Cuomo,Democratic,1-Jan-11,2022,y
65,North Carolina,Roy Cooper,Democratic,1-Jan-17,2025,n
67,North Dakota,Doug Burgum,Republican,15-Dec-16,2024,y
69,Ohio,Mike DeWine,Republican,14-Jan-19,2023,y
71,Oklahoma,Kevin Stitt,Republican,14-Jan-19,2023,y
73,Oregon,Kate Brown,Democratic,18-Feb-15,2023,n
75,Pennsylvania,Tom Wolf,Democratic,20-Jan-15,2023,n
77,Rhode Island,Daniel McKee,Democratic,2-Mar-21,2023,y
79,South Carolina,Henry McMaster,Republican,24-Jan-17,2023,y
81,South Dakota,Kristi Noem,Republican,5-Jan-19,2023,y
83,Tennessee,Bill Lee,Republican,19-Jan-19,2023,y
85,Texas,Greg Abbott,Republican,20-Jan-15,2023,y
87,Utah,Spencer Cox,Republican,4-Jan-21,2025,y
89,Vermont,Phil Scott,Republican,5-Jan-17,2023,y
91,Virginia,Ralph Northam,Democratic,13-Jan-18,2022,n
93,Washington,Jay Inslee,Democratic,16-Jan-13,2025,y
95,West Virginia,Jim Justice,Republican,16-Jan-17,2025,n
97,Wisconsin,Tony Evers,Democratic,7-Jan-19,2023,y
99,Wyoming,Mark Gordon,Republican,7-Jan-19,2023,y
